"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-850769","Li9V14O35","P2/c","-2.434","0.052","0.467","","116","3.105","1428.662","false","monoclinic",""
"mp-773986","LiV9O22","P21/m","-2.316","0.054","0.004","","64","3.375","804.306","false","monoclinic",""
"mp-542050","LiV6O13","P1","-2.424","0.054","0.632","","40","3.628","476.595","false","triclinic",""
"mp-32491","Li4V3O8","P21/m","-2.463","0.055","1.456","","30","3.526","290.684","true","monoclinic",""
"mp-774176","Li2V12O29","C2/m","-2.342","0.057","0.011","","43","3.419","528.924","true","monoclinic",""
"mp-19013","LiV2O5","Cmcm","-2.408","0.057","0.274","","16","2.984","210.165","true","orthorhombic",""
"mp-762265","Li3V5O10","P1","-2.467","0.059","1.178","","18","3.797","190.448","true","triclinic",""
"mp-762281","Li5V5O12","P1","-2.458","0.061","0.898","","44","3.667","435.935","true","triclinic",""
"mp-704734","Li2V18O39","P1","-2.4","0.062","0.037","","59","3.668","703.928","false","triclinic",""
"mp-567438","Li2V6O13","C2/m","-2.434","0.065","0.000","","21","3.566","245.672","false","monoclinic",""
"mp-776218","LiV2O4","Imma","-2.455","0.067","0.000","","14","3.86","148.699","true","orthorhombic",""
"mp-764906","LiV2O4","P21/m","-2.455","0.068","0.830","","14","3.493","164.307","true","monoclinic",""
"mp-762271","Li2V3O6","C2/m","-2.45","0.068","0.404","","11","3.858","113.073","true","monoclinic",""
"mp-775320","Li4V3O8","R3","-2.45","0.068","1.723","","15","3.369","152.089","true","trigonal",""
"mp-690504","Li3V4O8","R3m","-2.44","0.07","0.000","","15","3.811","153.637","true","trigonal",""
"mp-767752","Li3V5O10","C2/c","-2.456","0.07","0.640","","36","3.822","378.417","true","monoclinic",""
"mp-773375","Li2V3O7","P31c","-2.437","0.071","2.465","","72","3.003","924.735","false","trigonal",""
"mp-627993","LiV2O5","Pnma","-2.394","0.071","0.293","","32","3.103","404.165","true","orthorhombic",""
"mp-762287","Li2V5O10","P1","-2.448","0.071","0.620","","17","3.752","189.702","true","triclinic",""
"mp-771614","LiVO2","Imma","-2.413","0.072","1.370","","16","3.826","156.023","true","orthorhombic",""
"mp-762254","Li3V5O12","P1","-2.425","0.073","1.120","","20","3.609","215.133","true","triclinic",""
"mp-763344","LiV3O8","Cm","-2.288","0.074","1.130","","12","3.223","148.273","true","monoclinic",""
"mp-851075","Li4V5O12","P21/c","-2.436","0.075","0.753","","84","2.965","1062.904","false","monoclinic",""
"mp-777675","Li3V5O12","C2","-2.422","0.076","1.212","","20","3.048","254.692","true","monoclinic",""
"mp-762390","LiV5O10","P1","-2.425","0.08","1.263","","16","3.697","189.391","true","triclinic",""
"mp-18934","LiV2O5","Pmmn","-2.383","0.082","0.002","","16","3.198","196.068","true","orthorhombic",""
"mp-763804","LiV3O8","P3m1","-2.279","0.082","1.346","","12","2.994","159.591","true","trigonal",""
"mp-762268","Li3V2O6","P1","-2.423","0.084","1.302","","11","3.397","106.908","true","triclinic",""
"mp-763200","LiVO3","C2","-2.356","0.084","1.967","","10","3.258","107.928","true","monoclinic",""
"mp-542665","Li3V6O13","Cm","-2.426","0.084","0.608","","22","3.621","245.127","false","monoclinic",""
"mp-762285","Li3V7O12","C2","-2.423","0.085","1.082","","22","4.122","229.378","true","monoclinic",""
"mp-777360","Li13V24O52","P1","-2.428","0.085","0.777","","89","3.612","986.128","false","triclinic",""
"mp-762939","Li5V5O12","P1","-2.434","0.086","0.478","","44","3.587","445.763","true","triclinic",""
"mp-770899","Li2V3O8","P4bm","-2.369","0.086","1.991","","26","2.313","423.118","true","tetragonal",""
"mp-762381","Li4V11O22","P1","-2.429","0.088","0.865","","37","3.693","422.695","true","triclinic",""
"mp-775377","Li3V6O13","P1","-2.421","0.089","0.293","","44","3.632","488.654","true","triclinic",""
"mp-771788","Li4V3O8","R3","-2.424","0.094","0.000","","15","3.563","143.835","true","trigonal",""
"mp-771663","LiV2O4","P2/m","-2.426","0.097","0.427","","7","3.772","76.079","true","monoclinic",""
"mp-770775","Li3V5O14","P31m","-2.3","0.097","2.393","","22","2.545","325.924","true","trigonal",""
"mp-774411","Li2VO2","P3m1","-2.055","0.099","1.912","","5","3.426","46.925","true","trigonal",""
"mp-775044","LiVO3","C2/m","-2.33","0.11","2.087","","10","3.212","109.481","true","monoclinic",""
