No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
1,"Pb(Mn2/3,W1/3) O3",2 2 4,163.00,69.33,2.35,2.00,0.41,1.59,1.24,1.56,0.32,1.60,1.47,-0.13,8.10,4.63,1.63,0.69,4.97,6.68,0.74,11.65,A,0
2,"Pb(Mn2+,W6+)1/2 O3",2 2 6,163.00,85.50,1.91,2.00,0.40,1.60,1.24,1.78,0.54,1.60,1.70,0.10,8.10,4.88,1.63,0.86,4.97,5.70,0.87,10.67,A,0
3,"Pb(Mn2+,Re6+)1/2 O3",2 2 6,163.00,83.00,1.96,2.00,0.41,1.59,1.24,1.82,0.58,1.60,1.75,0.15,8.10,5.13,1.63,0.83,4.97,6.17,0.80,11.14,A,0
4,"Pb(Mn3+,Re5+)1/2 O3",2 3 5,163.00,73.75,2.21,2.00,0.46,1.54,1.24,1.86,0.62,1.60,1.65,0.05,8.10,5.13,1.63,0.74,4.97,6.95,0.72,11.92,A,0
5,"Pb(Mn3+,W5+)1/2 O3",2 3 5,163.00,77.25,2.11,2.00,0.42,1.58,1.24,1.74,0.50,1.60,1.70,0.10,8.10,4.88,1.63,0.77,4.97,6.31,0.79,11.28,A,0
6,"Pb(Cd,W)1/2 O3",2 2 6,163.00,91.50,1.78,2.00,0.69,1.32,1.24,1.73,0.48,1.60,1.85,0.25,8.10,6.00,1.63,0.92,4.97,6.56,0.76,11.53,A,0
7,NaNbO3,1 5,141.00,78.00,1.81,0.18,0.26,-0.08,0.96,1.77,0.82,0.90,1.70,0.80,2.20,3.60,1.41,0.78,1.56,4.62,0.34,6.18,A,0
8,PbZrO3,2 4,163.00,86.00,1.90,2.00,0.37,1.63,1.24,1.48,0.24,1.60,1.50,-0.10,8.10,3.60,1.63,0.86,4.97,4.19,1.19,9.16,A,0
9,PbHfO3,2 4,163.00,85.00,1.92,2.00,0.49,1.51,1.24,1.57,0.33,1.60,1.40,-0.20,8.10,4.60,1.63,0.85,4.97,5.41,0.92,10.38,A,0
10,"Pb(Mg,W)1/2 O3",2 2 6,163.00,80.00,2.04,2.00,0.19,1.81,1.24,1.67,0.43,1.60,1.60,0.00,8.10,4.25,1.63,0.80,4.97,5.31,0.94,10.28,A,0
11,"Pb(Co,W)1/2 O3",2 3 5,163.00,81.25,2.01,2.00,0.40,1.60,1.24,1.87,0.63,1.60,1.85,0.25,8.10,5.13,1.63,0.81,4.97,6.31,0.79,11.28,A,0
12,"Pb(In,Nb)1/2 O3",2 3 5,163.00,86.00,1.90,2.00,0.50,1.50,1.24,1.61,0.37,1.60,1.70,0.10,8.10,3.25,1.63,0.86,4.97,3.78,1.31,8.75,A,0
