No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y
24,KTaO3,1 5,178,78,2.28205128205128,0.839,0.358,0.481,0.897,1.881,0.984,0.8,1.7,0.9,2.2,5.1,1.78,0.78,1.23595505617978,6.53846153846154,0.189028420356907,7.77441659464131,F
25,NaTaO3,1 5,153,78,1.96153846153846,0.179,0.358,-0.179,0.956,1.881,0.925,1.2,1.7,0.5,2.2,5.1,1.53,0.78,1.43790849673203,6.53846153846154,0.219915417147251,7.97637003519356,F
26,SrTiO3,2 4,158,74.5,2.12080536912752,0.86,0.185,0.675,1.004,1.577,0.573,1,1.6,0.6,2.9,3.4,1.58,0.745,1.83544303797468,4.56375838926174,0.402177959791512,6.39920142723643,F
27,CdTiO3,2 4,145,74.5,1.94630872483221,1.09,0.185,0.905,1.318,1.577,0.259,1.7,1.6,-0.0999999999999999,6.4,3.4,1.45,0.745,4.41379310344828,4.56375838926174,0.967139959432049,8.97755149271002,F
28,BaTiO3,2 4,175,74.5,2.3489932885906,1.55,0.185,1.365,1.005,1.577,0.572,0.9,1.6,0.7,2.9,3.4,1.75,0.745,1.65714285714286,4.56375838926174,0.363109243697479,6.2209012464046,F
29,PbTiO3,2 4,163,74.5,2.18791946308725,2,0.185,1.815,1.241,1.577,0.336,1.6,1.6,0,8.1,3.4,1.63,0.745,4.96932515337423,4.56375838926174,1.08886683507759,9.53308354263598,F
30,"(K,Bi)1/2Ti O3",1 3 4,162.5,74.5,2.18120805369128,1.2895,0.185,1.1045,1.1475,1.577,0.4295,1.3,1.6,0.3,5.55,3.4,1.625,0.745,3.41538461538462,4.56375838926174,0.748371040723982,7.97914300464636,F
31,"(Na,Bi)1/2Ti O3",1 3 4,144,74.5,1.93288590604027,0.9595,0.185,0.7745,1.177,1.577,0.4,1.35,1.6,0.25,5.55,3.4,1.44,0.745,3.85416666666667,4.56375838926174,0.844515931372549,8.41792505592841,F
32,"Pb(Sc,Nb)1/2 O3",2 3 5,163,83.25,1.95795795795796,2,0.2735,1.7265,1.241,1.5435,0.3025,1.6,1.5,-0.1,8.1,3.375,1.63,0.8325,4.96932515337423,4.05405405405405,1.22576687116564,9.02337920742829,F
33,"Pb(Fe,Nb)1/2 O3",2 3 5,163,78.25,2.08306709265176,2,0.2985,1.7015,1.241,1.729,0.488,1.6,1.75,0.15,8.1,4,1.63,0.7825,4.96932515337423,5.11182108626198,0.972124233128834,10.0811462396362,F
34,"Pb(Sc,Ta)1/2 O3",2 3 5,163,83.25,1.95795795795796,2,0.322,1.678,1.241,1.5985,0.3575,1.6,1.5,-0.1,8.1,4.125,1.63,0.8325,4.96932515337423,4.95495495495495,1.00290016731735,9.92428010832919,F
35,"Pb(Fe,Ta)1/2 O3",2 3 5,163,78.25,2.08306709265176,2,0.347,1.653,1.241,1.784,0.543,1.6,1.75,0.15,8.1,4.75,1.63,0.7825,4.96932515337423,6.0702875399361,0.818630933161124,11.0396126933103,F
36,"Pb(Mg1/3,Nb2/3) O3",2 2 5,163,80.6666666666667,2.02066115702479,2,0.205333333333333,1.79466666666667,1.241,1.58333333333333,0.342333333333333,1.6,1.53333333333333,-0.0666666666666669,8.1,3.36666666666667,1.63,0.806666666666667,4.96932515337423,4.17355371900826,1.19066998724412,9.1428788723825,F
37,"Pb(Zn1/3,Nb2/3) O3",2 2 5,163,81.3333333333333,2.00409836065574,2,0.27,1.73,1.241,1.65666666666667,0.415666666666666,1.6,1.66666666666667,0.0666666666666664,8.1,4.2,1.63,0.813333333333333,4.96932515337423,5.16393442622951,0.962313759859772,10.1332595796037,F
38,"Pb(Co1/3,Nb2/3) O3",2 2 5,163,81.5,2,2,0.325,1.675,1.241,1.66966666666667,0.428666666666667,1.6,1.7,0.0999999999999999,8.1,3.95,1.63,0.815,4.96932515337423,4.84662576687117,1.0253164556962,9.8159509202454,F
39,"Pb(Ni1/3,Nb2/3) O3",2 2 5,163,79.6666666666667,2.04602510460251,2,0.302666666666667,1.69733333333333,1.241,1.68133333333333,0.440333333333333,1.6,1.73333333333333,0.133333333333333,8.1,4.03333333333333,1.63,0.796666666666667,4.96932515337423,5.06276150627615,0.981544389798712,10.0320866596504,F
40,"Pb(Mg1/3,Ta2/3) O3",2 2 5,163,80.6666666666667,2.02066115702479,2,0.27,1.73,1.241,1.65666666666667,0.415666666666667,1.6,1.53333333333333,-0.0666666666666669,8.1,4.36666666666667,1.63,0.806666666666667,4.96932515337423,5.41322314049587,0.917997471081347,10.3825482938701,F
41,"Pb(Co1/3,Ta2/3) O3",2 2 5,163,81.5,2,2,0.389666666666667,1.61033333333333,1.241,1.743,0.502,1.6,1.7,0.0999999999999999,8.1,4.95,1.63,0.815,4.96932515337423,6.07361963190184,0.818181818181818,11.0429447852761,F
42,"Pb(Ni1/3,Ta2/3) O3",2 2 5,163,79.6666666666667,2.04602510460251,2,0.367333333333333,1.63266666666667,1.241,1.75466666666667,0.513666666666666,1.6,1.73333333333333,0.133333333333333,8.1,5.03333333333333,1.63,0.796666666666667,4.96932515337423,6.31799163179916,0.786535570633405,11.2873167851734,F
43,"Pb(Fe2/3,W1/3) O3",2 3 6,163,77,2.11688311688312,2,0.317333333333333,1.68266666666667,1.241,1.83533333333333,0.594333333333333,1.6,2.2,0.6,8.1,4.8,1.63,0.77,4.96932515337423,6.23376623376623,0.797162576687117,11.2030913871405,F
44,DyCrO3,3 3,150,75.5,1.98675496688742,0.791,0.383,0.408,1.314,1.661,0.347,1.3,1.6,0.3,3.4,3.45,1.5,0.755,2.26666666666667,4.56953642384106,0.496038647342995,6.83620309050773,F
45,HoCrO3,3 3,135,75.5,1.78807947019868,0.757,0.383,0.374,1.32,1.661,0.341,1.3,1.6,0.3,3.45,3.45,1.35,0.755,2.55555555555556,4.56953642384106,0.559259259259259,7.12509197939661,F
46,YbCrO3,3 3,133,75.5,1.76158940397351,0.689,0.383,0.306,1.269,1.661,0.392,1.2,1.6,0.4,3.6,3.45,1.33,0.755,2.70676691729323,4.56953642384106,0.592350441320693,7.27630334113429,F
47,LuCrO3,3 3,132,75.5,1.74834437086093,0.661,0.383,0.278,1.313,1.661,0.348,1.3,1.6,0.3,4.1,3.45,1.32,0.755,3.10606060606061,4.56953642384106,0.679732103645147,7.67559702990166,F
48,PrCrO3,3 3,143,75.5,1.89403973509934,0.971,0.383,0.588,1.263,1.661,0.398,1.2,1.6,0.4,3.05,3.45,1.43,0.755,2.13286713286713,4.56953642384106,0.466757879801358,6.70240355670819,F
49,YCrO3,3 3,136,75.5,1.80132450331126,0.55,0.383,0.167,1.209,1.661,0.452,1.2,1.6,0.4,3.25,3.45,1.36,0.755,2.38970588235294,4.56953642384106,0.522964620630861,6.959242306194,F
50,"Pb(Co,W)1/2 O3",2 2 6,163,81.25,2.00615384615385,2,0.3665,1.6335,1.241,1.7995,0.5585,1.6,1.85,0.25,8.1,5.125,1.63,0.8125,4.96932515337423,6.30769230769231,0.787819841388598,11.2770174610665,F
51,"Ba(Bi,U)1/2 O3",2 5 3,175,103.5,1.69082125603865,1.55,0.7485,0.8015,1.005,1.6,0.595,0.9,1.85,0.95,2.9,6.25,1.75,1.035,1.65714285714286,6.03864734299517,0.274422857142857,7.69579020013803,F
52,"Tl(Zr,W)1/2 O3",1 4 6,184,80,2.3,3.13,0.325,2.805,1.096,1.804,0.708,1.4,1.75,0.35,7.3,4.6,1.84,0.8,3.96739130434783,5.75,0.689981096408318,9.71739130434782,F
53,CdHfO3,2 4,145,85,1.70588235294118,1.09,0.494,0.596,1.318,1.568,0.25,1.7,1.4,-0.3,6.4,4.6,1.45,0.85,4.41379310344828,5.41176470588235,0.815592203898051,9.82555780933063,F
54,"Cd(Fe,Nb)1/2 O3",2 3 5,145,78.25,1.85303514376997,1.09,0.2985,0.7915,1.318,1.729,0.411,1.7,1.75,0.05,6.4,4,1.45,0.7825,4.41379310344828,5.11182108626198,0.863448275862069,9.52561418971026,F
55,"Cd(Sc,Nb)1/2 O3",2 3 5,145,83.25,1.74174174174174,1.09,0.2735,0.8165,1.318,1.5435,0.2255,1.7,1.5,-0.2,6.4,3.375,1.45,0.8325,4.41379310344828,4.05405405405405,1.08873563218391,8.46784715750233,F
